INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
9,2010,1125,0,60
9,2010,1036,30,150
9,2010,,,
9,2010,636,,
9,2010,1050,30,
9,2010,2150,3600,210
9,2010,825,50,130
9,2010,,,
9,2010,,,
9,2010,,,
9,2010,2241,2600,220
9,2010,,,
9,2010,1100,50,120
9,2010,1605,0,
9,2010,530,2000,
9,2010,1620,0,100
9,2010,1145,0,
9,2010,1130,0,
9,2010,,,
9,2010,2300,,
9,2010,1015,,
9,2010,2100,,
8,2010,,200,150
8,2010,2029,0,
8,2010,,,
8,2010,1130,,
8,2010,940,50,
8,2010,2320,600,115
8,2010,,,
8,2010,1700,50,120
8,2010,1100,0,140
8,2010,,,
8,2010,1430,100,144
8,2010,,,
8,2010,815,0,
8,2010,,,
8,2010,950,100,140
8,2010,1300,,
8,2010,700,500,
8,2010,1325,,
8,2010,1021,,
8,2010,,,
7,2010,2010,10,140
7,2010,,,
7,2010,833,0,
7,2010,1400,1200,140
7,2010,839,0,100
7,2010,950,,
7,2010,1000,0,80
7,2010,2230,4000,
7,2010,1100,0,
7,2010,2023,25,105
7,2010,1240,,
7,2010,1420,0,
7,2010,850,,
7,2010,,,
7,2010,,,
7,2010,,,
7,2010,,0,
7,2010,2019,7,
7,2010,1055,200,135
7,2010,,,
7,2010,,,
7,2010,850,0,
7,2010,1600,,
6,2010,2220,1300,
6,2010,,,
6,2010,1013,0,100
6,2010,1100,2000,
6,2010,,,
6,2010,803,0,
6,2010,,50,140
6,2010,1240,,
6,2010,1100,10,70
6,2010,,,
6,2010,,,
6,2010,1107,20,105
6,2010,1300,0,
5,2010,,,
5,2010,,,
5,2010,913,0,
5,2010,2130,,
5,2010,1452,10,80
5,2010,,,
5,2010,1400,,
5,2010,615,,
5,2010,2332,4000,
5,2010,2150,,
5,2010,,,
5,2010,,,
5,2010,1500,0,
5,2010,1031,0,
5,2010,,,
5,2010,,,
5,2010,,,
5,2010,1316,,
4,2010,1300,,
4,2010,2235,7000,201
4,2010,930,20,130
4,2010,2020,,
4,2010,2150,5000,180
4,2010,,6000,
4,2010,1028,0,50
4,2010,,0,
4,2010,649,600,130
4,2010,1250,,
3,2010,830,30,125
3,2010,1030,0,
3,2010,929,10,110
3,2010,1010,25,75
2,2010,1040,0,
2,2010,1745,0,
2,2010,,400,170
1,2010,,,
1,2010,1759,,
1,2010,,0,
12,2009,1925,0,
12,2009,,,
12,2009,,,
12,2009,,,
12,2009,2220,,
12,2009,740,,
12,2009,,,
11,2009,1540,0,
11,2009,,,
11,2009,1900,200,75
11,2009,315,500,100
11,2009,730,0,145
11,2009,1830,500,90
11,2009,935,10,
11,2009,,,
11,2009,,,
10,2009,915,,
10,2009,,,
10,2009,1915,100,
10,2009,1020,0,
10,2009,1955,8000,210
10,2009,,9000,250
10,2009,1730,,
10,2009,,,
10,2009,1045,,
10,2009,,,
10,2009,1602,0,
10,2009,1627,0,
10,2009,,,
10,2009,1206,300,144
10,2009,1635,0,95
10,2009,,,
10,2009,,,
10,2009,1725,0,
10,2009,2306,,
9,2009,1213,,
9,2009,,,
9,2009,,4000,
